Verifikationsnr;Datum;Konto;Kontonamn;Debet;Kredit;Text
1006;2025-01-01;2440;Leverantörsskulder;0,0;44011,04;Leverantörsfaktura LF-1006
1006;2025-01-01;6110;Kontorsmaterial;35208,83;0,0;Leverantörsfaktura LF-1006
1006;2025-01-01;2640;Ingående moms;8802,21;0,0;Leverantörsfaktura LF-1006
1033;2025-01-01;5010;Lokalhyra;44156,64;0,0;Lokalhyra
1033;2025-01-01;1930;Företagskonto;0,0;44156,64;Lokalhyra
1119;2025-01-01;5010;Lokalhyra;23607,41;0,0;Lokalhyra
1119;2025-01-01;1930;Företagskonto;0,0;23607,41;Lokalhyra
1059;2025-01-02;1510;Kundfordringar;174154,01;0,0;Faktura F-1059
1059;2025-01-02;3010;Försäljning varor 25%;0,0;139323,21;Faktura F-1059
1059;2025-01-02;2610;Utgående moms 25%;0,0;34830,8;Faktura F-1059
1198;2025-01-02;6110;Kontorsmaterial;1702,54;0,0;Kontorsmaterial
1198;2025-01-02;1930;Företagskonto;0,0;1702,54;Kontorsmaterial
1201;2025-01-02;5010;Lokalhyra;180000,0;0,0;Lokalhyra Q1 2025 — kvartalsbetalning
1201;2025-01-02;2440;Leverantörsskulder;0,0;180000,0;Lokalhyra Q1 2025 — kvartalsbetalning
1099;2025-01-04;2440;Leverantörsskulder;0,0;46364,58;Leverantörsfaktura LF-1099
1099;2025-01-04;6110;Kontorsmaterial;37091,66;0,0;Leverantörsfaktura LF-1099
1099;2025-01-04;2640;Ingående moms;9272,92;0,0;Leverantörsfaktura LF-1099
1002;2025-01-05;1510;Kundfordringar;23232,260000000002;0,0;Faktura F-1002
1002;2025-01-05;3010;Försäljning varor 25%;0,0;18585,81;Faktura F-1002
1002;2025-01-05;2610;Utgående moms 25%;0,0;4646,45;Faktura F-1002
1101;2025-01-05;7010;Löner;31673,01;0,0;Lön
1101;2025-01-05;7510;Arbetsgivaravgifter;9951,66;0,0;Arbetsgivaravgifter
1101;2025-01-05;1930;Företagskonto;0,0;41624,67;Lön + arbetsgivaravgifter
1204;2025-01-05;6320;Ansvarsförsäkring;72000,0;0,0;Ansvarsförsäkring Q1 2025
1204;2025-01-05;2440;Leverantörsskulder;0,0;72000,0;Ansvarsförsäkring Q1 2025
1095;2025-01-06;5010;Lokalhyra;21302,3;0,0;Lokalhyra
1095;2025-01-06;1930;Företagskonto;0,0;21302,3;Lokalhyra
1199;2025-01-06;1510;Kundfordringar;106546,31;0,0;Faktura F-1199
1199;2025-01-06;3010;Försäljning varor 25%;0,0;85237,05;Faktura F-1199
1199;2025-01-06;2610;Utgående moms 25%;0,0;21309,26;Faktura F-1199
1054;2025-01-07;1510;Kundfordringar;17236,05;0,0;Faktura F-1054
1054;2025-01-07;3010;Försäljning varor 25%;0,0;13788,84;Faktura F-1054
1054;2025-01-07;2610;Utgående moms 25%;0,0;3447,21;Faktura F-1054
1067;2025-01-08;1510;Kundfordringar;112132,19;0,0;Faktura F-1067
1067;2025-01-08;3010;Försäljning varor 25%;0,0;89705,75;Faktura F-1067
1067;2025-01-08;2610;Utgående moms 25%;0,0;22426,44;Faktura F-1067
1012;2025-01-09;1510;Kundfordringar;126103,97;0,0;Faktura F-1012
1012;2025-01-09;3010;Försäljning varor 25%;0,0;100883,18;Faktura F-1012
1012;2025-01-09;2610;Utgående moms 25%;0,0;25220,79;Faktura F-1012
1069;2025-01-09;6110;Kontorsmaterial;1145,63;0,0;Kontorsmaterial
1069;2025-01-09;1930;Företagskonto;0,0;1145,63;Kontorsmaterial
1048;2025-01-10;1510;Kundfordringar;47745,7;0,0;Faktura F-1048
1048;2025-01-10;3010;Försäljning varor 25%;0,0;38196,56;Faktura F-1048
1048;2025-01-10;2610;Utgående moms 25%;0,0;9549,14;Faktura F-1048
1057;2025-01-10;7010;Löner;49240,67;0,0;Lön
1057;2025-01-10;7510;Arbetsgivaravgifter;15471,42;0,0;Arbetsgivaravgifter
1057;2025-01-10;1930;Företagskonto;0,0;64712,09;Lön + arbetsgivaravgifter
1076;2025-01-10;1510;Kundfordringar;89314,25;0,0;Faktura F-1076
1076;2025-01-10;3010;Försäljning varor 25%;0,0;71451,4;Faktura F-1076
1076;2025-01-10;2610;Utgående moms 25%;0,0;17862,85;Faktura F-1076
1203;2025-01-10;6310;Företagsförsäkring;156000,0;0,0;Företagsförsäkring 2025 — helårspremie
1203;2025-01-10;1930;Företagskonto;0,0;156000,0;Företagsförsäkring 2025 — helårspremie
1013;2025-01-11;2440;Leverantörsskulder;0,0;54322,119999999995;Leverantörsfaktura LF-1013
1013;2025-01-11;6210;Telefon;43457,7;0,0;Leverantörsfaktura LF-1013
1013;2025-01-11;2640;Ingående moms;10864,42;0,0;Leverantörsfaktura LF-1013
1143;2025-01-11;2440;Leverantörsskulder;0,0;10488,380000000001;Leverantörsfaktura LF-1143
1143;2025-01-11;6210;Telefon;8390,7;0,0;Leverantörsfaktura LF-1143
1143;2025-01-11;2640;Ingående moms;2097,68;0,0;Leverantörsfaktura LF-1143
1156;2025-01-11;7010;Löner;29070,98;0,0;Lön
1156;2025-01-11;7510;Arbetsgivaravgifter;9134,1;0,0;Arbetsgivaravgifter
1156;2025-01-11;1930;Företagskonto;0,0;38205,08;Lön + arbetsgivaravgifter
1189;2025-01-12;5010;Lokalhyra;21647,89;0,0;Lokalhyra
1189;2025-01-12;1930;Företagskonto;0,0;21647,89;Lokalhyra
1052;2025-01-13;7010;Löner;35628,93;0,0;Lön
1052;2025-01-13;7510;Arbetsgivaravgifter;11194,61;0,0;Arbetsgivaravgifter
1052;2025-01-13;1930;Företagskonto;0,0;46823,54;Lön + arbetsgivaravgifter
1077;2025-01-13;1510;Kundfordringar;103696,24;0,0;Faktura F-1077
1077;2025-01-13;3010;Försäljning varor 25%;0,0;82956,99;Faktura F-1077
1077;2025-01-13;2610;Utgående moms 25%;0,0;20739,25;Faktura F-1077
1197;2025-01-13;2440;Leverantörsskulder;0,0;19395,1;Leverantörsfaktura LF-1197
1197;2025-01-13;6110;Kontorsmaterial;15516,08;0,0;Leverantörsfaktura LF-1197
1197;2025-01-13;2640;Ingående moms;3879,02;0,0;Leverantörsfaktura LF-1197
1055;2025-01-14;2440;Leverantörsskulder;0,0;12984,89;Leverantörsfaktura LF-1055
1055;2025-01-14;6210;Telefon;10387,91;0,0;Leverantörsfaktura LF-1055
1055;2025-01-14;2640;Ingående moms;2596,98;0,0;Leverantörsfaktura LF-1055
1083;2025-01-14;2440;Leverantörsskulder;0,0;17448,54;Leverantörsfaktura LF-1083
1083;2025-01-14;4010;Inköp varor;13958,83;0,0;Leverantörsfaktura LF-1083
1083;2025-01-14;2640;Ingående moms;3489,71;0,0;Leverantörsfaktura LF-1083
1130;2025-01-14;7010;Löner;31565,23;0,0;Lön
1130;2025-01-14;7510;Arbetsgivaravgifter;9917,8;0,0;Arbetsgivaravgifter
1130;2025-01-14;1930;Företagskonto;0,0;41483,03;Lön + arbetsgivaravgifter
1027;2025-01-15;2440;Leverantörsskulder;0,0;39681,08;Leverantörsfaktura LF-1027
1027;2025-01-15;6210;Telefon;31744,86;0,0;Leverantörsfaktura LF-1027
1027;2025-01-15;2640;Ingående moms;7936,22;0,0;Leverantörsfaktura LF-1027
1107;2025-01-15;5010;Lokalhyra;20357,03;0,0;Lokalhyra
1107;2025-01-15;1930;Företagskonto;0,0;20357,03;Lokalhyra
1167;2025-01-15;2440;Leverantörsskulder;0,0;60339,15;Leverantörsfaktura LF-1167
1167;2025-01-15;4010;Inköp varor;48271,32;0,0;Leverantörsfaktura LF-1167
1167;2025-01-15;2640;Ingående moms;12067,83;0,0;Leverantörsfaktura LF-1167
1200;2025-01-15;5010;Lokalhyra;540000,0;0,0;Lokalhyra jan-dec 2025 — helårsavtal
1200;2025-01-15;1930;Företagskonto;0,0;540000,0;Lokalhyra jan-dec 2025 — helårsavtal
1041;2025-01-17;2440;Leverantörsskulder;0,0;41659,740000000005;Leverantörsfaktura LF-1041
1041;2025-01-17;5410;Förbrukningsinventarier;33327,79;0,0;Leverantörsfaktura LF-1041
1041;2025-01-17;2640;Ingående moms;8331,95;0,0;Leverantörsfaktura LF-1041
1078;2025-01-17;5010;Lokalhyra;41425,93;0,0;Lokalhyra
1078;2025-01-17;1930;Företagskonto;0,0;41425,93;Lokalhyra
1024;2025-01-18;2440;Leverantörsskulder;0,0;46880,57;Leverantörsfaktura LF-1024
1024;2025-01-18;6110;Kontorsmaterial;37504,46;0,0;Leverantörsfaktura LF-1024
1024;2025-01-18;2640;Ingående moms;9376,11;0,0;Leverantörsfaktura LF-1024
1093;2025-01-19;7010;Löner;28823,37;0,0;Lön
1093;2025-01-19;7510;Arbetsgivaravgifter;9056,3;0,0;Arbetsgivaravgifter
1093;2025-01-19;1930;Företagskonto;0,0;37879,67;Lön + arbetsgivaravgifter
1084;2025-01-20;5010;Lokalhyra;23452,69;0,0;Lokalhyra
1084;2025-01-20;1930;Företagskonto;0,0;23452,69;Lokalhyra
1017;2025-01-21;7010;Löner;36383,66;0,0;Lön
1017;2025-01-21;7510;Arbetsgivaravgifter;11431,75;0,0;Arbetsgivaravgifter
1017;2025-01-21;1930;Företagskonto;0,0;47815,41;Lön + arbetsgivaravgifter
1016;2025-01-22;6110;Kontorsmaterial;7426,7;0,0;Kontorsmaterial
1016;2025-01-22;1930;Företagskonto;0,0;7426,7;Kontorsmaterial
1060;2025-01-22;7010;Löner;39569,23;0,0;Lön
1060;2025-01-22;7510;Arbetsgivaravgifter;12432,65;0,0;Arbetsgivaravgifter
1060;2025-01-22;1930;Företagskonto;0,0;52001,880000000005;Lön + arbetsgivaravgifter
1062;2025-01-22;7010;Löner;25064,66;0,0;Lön
1062;2025-01-22;7510;Arbetsgivaravgifter;7875,32;0,0;Arbetsgivaravgifter
1062;2025-01-22;1930;Företagskonto;0,0;32939,979999999996;Lön + arbetsgivaravgifter
1166;2025-01-22;6110;Kontorsmaterial;6268,85;0,0;Kontorsmaterial
1166;2025-01-22;1930;Företagskonto;0,0;6268,85;Kontorsmaterial
1034;2025-01-23;6110;Kontorsmaterial;9169,96;0,0;Kontorsmaterial
1034;2025-01-23;1930;Företagskonto;0,0;9169,96;Kontorsmaterial
1056;2025-01-24;5010;Lokalhyra;28878,84;0,0;Lokalhyra
1056;2025-01-24;1930;Företagskonto;0,0;28878,84;Lokalhyra
1117;2025-01-25;7010;Löner;44947,88;0,0;Lön
1117;2025-01-25;7510;Arbetsgivaravgifter;14122,62;0,0;Arbetsgivaravgifter
1117;2025-01-25;1930;Företagskonto;0,0;59070,5;Lön + arbetsgivaravgifter
1207;2025-01-25;7010;Löner;45000,0;0,0;Lön Anna Svensson
1207;2025-01-25;7510;Arbetsgivaravgifter;14139,0;0,0;Arbetsgivaravgift Anna Svensson
1207;2025-01-25;1930;Företagskonto;0,0;59139,0;Lön + AG-avg Anna Svensson
1208;2025-01-25;7410;Pensionskostnader;2025,0;0,0;Pension Anna Svensson
1208;2025-01-25;1930;Företagskonto;0,0;2025,0;Pension Anna Svensson
1209;2025-01-25;7530;Särskild löneskatt pensionskostnader;491,27;0,0;SLP pension Anna Svensson
