Namn;Månadslön;Antal månader;Semesterdagar;Sparade dagar;Semesterlön (kr);Semestertillägg (kr);AG-avg (kr)
Karl Bengtsson;40713;7;25;6;60100,14;2279,93;19599,82
Karl Larsson;43851;6;28;21;102319,0;2104,85;32809,97
Elin Eriksson;35432;6;30;28;97859,81;1700,74;11132,73
Therese Karlsson;43273;1;25;27;107152,19;346,18;33775,99
Sofia Gustafsson;88822;10;30;33;306435,9;7105,76;98514,79
Filip Åberg;68603;7;30;34;209075,81;3841,77;66898,7
Patrik Hedlund;37086;11;25;5;52980,0;3263,57;17671,73
Sara Abrahamsson;64934;7;28;21;151512,67;3636,3;0,0
Rickard Bergström;89499;11;25;0;106546,43;7875,91;35951,5
Karl Hellström;53854;8;30;14;112836,95;3446,66;36536,31
Mattias Johansson;35665;3;25;12;62838,33;855,96;0,0
Susanne Månsson;52821;7;30;26;140856,0;2957,98;0,0
Oscar Eriksson;68444;6;30;5;114073,33;3285,31;36874,08
Hanna Ström;36909;6;25;30;96666,43;1771,63;0,0
Andreas Engström;62136;6;25;40;192325,71;2982,53;61365,85
Lars Nordström;78827;4;30;5;131378,33;2522,46;42071,63
David Hägg;54083;7;25;8;84987,57;3028,65;27654,7
Niklas Nilsson;83585;3;25;42;266675,95;2006,04;0,0
Jenny Nordin;83507;12;30;42;286309,71;8016,67;92477,35
Martin Hedlund;71475;3;25;32;194003,57;1715,4;61494,9
Petra Jansson;48321;6;25;25;115050,0;2319,41;36877,47
Erik Persson;52580;10;25;5;75114,29;4206,4;24922,56
Linda Pettersson;86516;8;25;25;205990,48;5537,02;66461,94
Jonas Jonsson;67850;3;28;40;219704,76;1628,4;0,0
Sandra Fransson;67405;6;30;37;215054,05;3235,44;68586,56
Camilla Sjöberg;58505;4;25;21;128153,81;1872,16;40854,16
Camilla Wallin;67799;5;25;35;193711,43;2711,96;61716,23
Sandra Sjöberg;38598;7;25;37;113956,0;2161,49;36484,12
David Holmberg;52426;8;28;36;159774,48;3355,26;51255,36
Henrik Nilsson;46941;2;25;27;116234,86;751,06;36756,98
Lars Sjöberg;59233;4;28;2;84618,57;1895,46;27182,71
Rickard Svensson;56012;12;25;14;104022,29;5377,15;34373,3
Niklas Johansson;74784;1;25;43;242157,71;598,27;23497,13
Martin Larsson;85060;12;28;12;162019,05;8165,76;53472,07
Jenny Löfgren;70714;9;25;12;124591,33;5091,41;40746,32
Jenny Holm;38942;10;25;41;122389,14;3115,36;39433,51
Per Johansson;51022;4;25;25;121480,95;1632,7;16031,11
David Sjöberg;70843;1;25;15;134939,05;566,74;42575,92
Anders Lindgren;78971;11;25;13;142899,9;6949,45;47082,67
Petra Björk;63482;7;28;12;120918,1;3554,99;39109,44
Cecilia Abrahamsson;42001;3;25;29;108002,57;1008,02;34251,13
Patrik Gustafsson;60597;1;25;32;164477,57;484,78;51831,17
Therese Gustafsson;60184;3;25;8;94574,86;1444,42;30169,26
Henrik Johansson;41436;3;25;29;106549,71;994,46;33790,38
Ida Bergström;43803;11;25;22;98035,29;3854,66;32013,82
Henrik Björk;44372;2;30;0;63388,57;709,95;20139,75
Andreas Eriksson;42230;4;25;15;80438,1;1351,36;25698,25
Linda Hansson;62582;9;25;23;143044,57;4505,9;46360,36
Ida Svensson;87459;6;28;0;116612,0;4198,03;37958,51
Lisa Abrahamsson;74081;12;28;12;141106,67;7111,78;46570,24
Sofia Lindgren;77826;9;28;10;161952,2;5603,47;52645,99
Hanna Månsson;45574;4;25;11;78126,86;1458,37;25005,68
Sara Nordström;38721;5;25;8;60847,29;1548,84;19604,86
Therese Sundberg;42926;6;25;40;51102,38;2060,45;16703,76
Anders Löfgren;41614;8;25;22;93136,1;2663,3;30100,17
Per Svensson;87931;7;25;5;125615,71;4924,14;41015,62
Sara Lindberg;42996;10;25;17;85992,0;3439,68;28099,43
Sandra Dahlberg;86398;11;25;1;106968,95;7603,02;35998,51
Maria Sandberg;39303;3;25;42;125395,29;943,27;39695,58
Jonas Ekström;82077;7;30;34;250139,43;4596,31;80037,97
Linda Lundberg;80960;1;25;43;262156,19;647,68;0,0
David Wikström;41462;12;25;26;100693,43;3980,35;32888,5
Therese Ström;63091;11;30;6;108156,0;5552,01;35727,06
Therese Blom;54789;6;28;26;140886,0;2629,87;45092,69
Andreas Bergström;35155;10;28;45;122205,48;2812,4;39280,62
David Jansson;76085;9;25;1;94200,48;5478,12;31319,02
Linda Berglund;71875;10;30;21;174553,57;5750,0;22583,12
Karl Blom;41345;8;25;26;100409,29;2646,08;32380,0
Elin Pettersson;68192;11;30;6;116900,57;6000,9;38615,64
